Regione,anno,NTN_totale,NTN_fino_a_50_mq,NTN_50_85_mq,NTN_85_115_mq,NTN_115_145_mq,NTN_oltre_145_mq
Italia,2015,435931.25,38154.19,134233.13,119373.69,74850.9,69319.34
Abruzzo ,2016,9945.77,911.03,3229.82,2521.87,1715.47,1567.58
Basilicata,2016,3497.95,438.89,962.26,912.57,711.62,472.61
Calabria,2016,10491.13,1453.92,2947.2,2465.13,1923.74,1701.14
Campania,2016,31036.1,3043.1,7109.84,8800.64,6700.11,5382.41
Emilia-Romagna,2016,44642.68,3158.87,14214.61,13280.16,6733.8,7255.24
Friuli- Venezia Giulia,2016,7566.6,447.94,1541.24,1880.06,1359.37,2337.99
Lazio,2016,54542.28,5140.48,20943.96,14724.7,7409.88,6323.26
Liguria,2016,19505.38,2552.18,7816.08,5327.18,2169.54,1640.4
Lombardia,2016,109782.9,9726.06,38242.95,30781.19,15180.24,15852.46
Marche,2016,11161.94,724.47,3180.62,3209.28,2092.15,1955.42
Molise,2016,2093.58,242.67,620.11,515.77,397.26,317.77
Piemonte,2016,47066.77,4046.51,15659.39,12263.75,6295.0,8802.12
Puglia,2016,30331.01,3333.93,7808.69,8672.9,6257.62,4257.87
Sardegna,2016,11740.8,1178.04,3910.31,2685.51,1883.67,2083.27
Sicilia,2016,32767.97,3506.59,8135.57,8305.18,7021.82,5798.81
Toscana,2016,35498.84,2721.89,10414.89,10238.29,5839.82,6283.95
Umbria,2016,6827.37,464.34,1622.22,1865.0,1407.14,1468.67
Valle d'Aosta,2016,1641.43,343.7,659.23,347.07,153.68,137.75
Veneto,2016,47043.91,2684.08,12001.8,13002.7,8339.52,11015.81
Italia,2016,517184.4099999999,46118.69,161020.79,141798.95,83591.45,84654.53
Abruzzo ,2017,9992.09,927.02,3173.84,2556.98,1769.64,1564.61
Basilicata,2017,3569.55,430.76,966.85,955.56,705.06,511.32
Calabria,2017,11210.54,1583.62,3095.82,2566.82,2114.3,1849.98
Campania,2017,33621.22,3341.61,7565.2,9629.29,7097.98,5987.14
Emilia-Romagna,2017,46549.82,3205.77,14596.9,14183.16,6867.2,7696.79
Friuli- Venezia Giulia,2017,7961.16,511.71,1659.8,1965.91,1378.3,2445.44
Lazio,2017,56363.62,5322.13,21651.18,15233.71,7647.69,6508.91
Liguria,2017,20422.9,2594.75,8214.25,5590.18,2292.57,1731.15
Lombardia,2017,115870.54,10633.86,40669.52,31826.88,15892.84,16847.44
Marche,2017,11168.71,787.24,3086.89,3236.81,2130.07,1927.7
Molise,2017,2110.36,238.85,617.89,523.65,386.08,343.89
Piemonte,2017,49652.51,4252.73,16345.36,12934.87,6574.91,9544.64
Puglia,2017,32205.89,3474.64,8466.23,9092.3,6581.34,4591.38
Sardegna,2017,12479.33,1180.38,4165.24,2876.33,2021.71,2235.67
Sicilia,2017,34310.18,3848.62,8285.07,8934.89,7212.94,6028.66
Toscana,2017,37718.35,2738.39,11194.58,10874.73,6206.35,6704.3
Umbria,2017,6770.56,418.16,1550.4,1889.25,1343.89,1568.86
Valle d'Aosta,2017,1670.92,336.66,635.29,376.46,162.35,160.16
Veneto,2017,49539.43,2816.37,12790.96,13663.93,8568.9,11699.27
Italia,2017,543187.6799999999,48643.27000000001,168731.27,148911.71,86954.12000000001,89947.31000000001
Abruzzo ,2018,10562.98,976.45,3446.62,2588.88,1797.1,1753.93
Basilicata,2018,3361.14,429.08,964.78,897.72,643.15,426.41
Calabria,2018,11505.21,1530.15,3246.98,2617.25,2208.54,1902.29
Campania,2018,35110.97,3475.58,7867.3,10058.0,7526.02,6184.07
Emilia-Romagna,2018,51979.62,3753.3,16264.94,15528.89,7734.1,8698.39
Friuli- Venezia Giulia,2018,8414.27,530.29,1888.1,1992.5,1479.47,2523.91
Lazio,2018,59052.15,5522.62,22094.68,16307.19,8118.44,7009.22
Liguria,2018,20901.54,2731.51,8376.8,5698.77,2308.34,1786.12
Lombardia,2018,123411.6,11821.14,43169.4,34009.16,16777.19,17634.71
Marche,2018,12198.82,780.44,3379.12,3616.52,2282.3,2140.44
Molise,2018,2224.17,220.62,626.85,572.33,402.15,402.22
Piemonte,2018,52231.19,4622.37,16951.28,13731.98,6861.84,10063.72
Puglia,2018,33655.16,3665.82,8549.4,9578.03,6738.33,5123.58
Sardegna,2018,13525.79,1379.23,4486.31,3080.3,2135.09,2444.86
Sicilia,2018,36929.46,4120.74,8968.31,9360.3,7991.75,6488.36
Toscana,2018,40741.39,2827.57,12041.72,11709.66,6861.12,7301.32
Umbria,2018,7215.83,422.14,1575.85,2010.48,1514.34,1693.02
Valle d'Aosta,2018,1687.51,372.07,621.4,380.84,167.83,145.37
Veneto,2018,54498.37,3144.12,13938.11,15124.59,9418.54,12873.01
Italia,2018,579207.17,52325.240000000005,178457.95,158863.38999999998,92965.63999999998,96594.94999999998
Abruzzo,2019,11294.22,1081.56,3495.54,2854.74,2002.81,1859.57
Basilicata,2019,3672.98,488.39,1024.99,951.44,670.94,537.22
